,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./Tromble/language/language.mtx,0.0001852,0.00017201,9.778E-05,7.925E-05,0.0001042,8.637E-05,9.928E-05,6.438E-05,0.00018029,0.00011386,8.856E-05,4.161E-05,0.00026562,0.00015292,0.000397,0.00018736
./Hamrle/Hamrle3/Hamrle3.mtx,0.00068191,0.001313,0.00110423,0.0010583,0.00018588,0.00022986,0.00018627,0.000194,0.00058542,0.00081378,0.00020598,0.00026047,0.001242,0.00077354,0.00059872,0.00093453
./Oberwolfach/gyro_k/gyro_k.mtx,6.498E-05,6.547E-05,2.779E-05,2.784E-05,3.619E-05,3.439E-05,3.063E-05,3.137E-05,5.171E-05,4.939E-05,2.114E-05,2.218E-05,5.63E-05,5.825E-05,0.0001756,0.00017121
./Oberwolfach/t3dh_a/t3dh_a.mtx,0.00020287,0.00020431,7.641E-05,7.583E-05,0.0001255,0.00012315,5.727E-05,5.396E-05,0.00016741,0.00016959,6.351E-05,6.388E-05,0.00018098,0.00018351,0.00021932,0.00021698
./Oberwolfach/t3dh_e/t3dh_e.mtx,0.00020286,0.0002046,7.581E-05,7.599E-05,0.0001255,0.00012443,5.755E-05,5.502E-05,0.00016993,0.00017193,6.353E-05,6.411E-05,0.0001799,0.00018171,0.00022409,0.00021939
./Lin/Lin/Lin.mtx,8.61E-05,8.889E-05,3.63E-05,3.577E-05,7.532E-05,7.144E-05,3.222E-05,5.725E-05,5.603E-05,5.52E-05,2.471E-05,2.382E-05,0.00010238,0.00010065,0.0001857,0.00018137
./GHS_indef/d_pretok/d_pretok.mtx,8.84E-05,8.382E-05,4.082E-05,3.765E-05,4.727E-05,5.539E-05,2.59E-05,5.142E-05,5.934E-05,5.352E-05,2.343E-05,2.232E-05,8.609E-05,9.271E-05,0.00019352,0.00018334
./GHS_indef/darcy003/darcy003.mtx,0.00014827,0.00013418,6.485E-05,5.018E-05,0.00010755,9.323E-05,9.095E-05,6.588E-05,0.00016723,8.254E-05,4.207E-05,3.335E-05,0.00020043,0.00013159,0.00022211,0.00020015
./GHS_indef/dawson5/dawson5.mtx,5.307E-05,5.259E-05,2.477E-05,2.503E-05,2.903E-05,3.487E-05,2.959E-05,3.179E-05,3.958E-05,3.904E-05,1.505E-05,1.478E-05,5.327E-05,5.006E-05,0.00017846,0.00016717
./GHS_indef/exdata_1/exdata_1.mtx,0.00052288,0.00052114,0.00019493,0.00019773,0.0001731,0.00018617,0.00011476,0.00017438,0.000448,0.00049265,0.00016247,0.00016462,0.00042951,0.00043776,0.000339,0.00031883
./GHS_indef/helm2d03/helm2d03.mtx,0.00016076,0.00012683,6.78E-05,4.793E-05,0.00012632,9.195E-05,0.00010034,4.244E-05,0.00018133,9.224E-05,9.47E-05,3.335E-05,0.00021986,0.00014427,0.00025485,0.00019495
./GHS_indef/mario002/mario002.mtx,0.00014997,0.0001347,6.425E-05,5.105E-05,0.00011166,9.607E-05,9.1E-05,6.541E-05,0.0001677,8.238E-05,4.223E-05,3.341E-05,0.00019997,0.00013228,0.00022521,0.00020174
./GHS_indef/turon_m/turon_m.mtx,9.557E-05,8.982E-05,4.351E-05,3.978E-05,5.342E-05,6.952E-05,2.781E-05,5.56E-05,6.508E-05,5.747E-05,2.475E-05,2.329E-05,9.204E-05,9.799E-05,0.00019638,0.00018809
